ID;Lastname;Firstname;Middlename;Group_id;Gender;Birthday
1;Иванова;Ксения;Петровна;05-004;Ж;2000-01-03
2;Смирнов;Павел;Андреевич;05-004;М;2000-03-13
3;Кузнецов;Михаил;Смирнович;05-004;М;2000-05-24
4;Попов;Егор;Александрович;05-004;М;2000-07-25
5;Васильев;Николай;Николаевич;05-904;М;2000-10-14
6;Круг;Иван;Ильич;05-904;М;2000-02-15
7;Волик;Мария;Михайловна;05-904;Ж;2000-04-25
8;Михайлов;Борис;Львович;05-904;М;2000-08-23
9;Новиков;Евгений;Федорович;05-904;М;2000-09-29
10;Лебедева;Мария;Поповна;05-804;Ж;2000-03-31
11;Семенов;Петр;Евгеньевич;05-804;М;2000-04-06
12;Егоров;Федор;Васильевич;05-804;М;2000-10-28
13;Павлова;Надежда;Алексеевна;05-804;Ж;2000-09-30
14;Тюрин;Макар;Макарович;05-804;М;2000-02-09
15;Репин;Роман;Николаевич;05-804;М;2000-04-27
16;Николаев;Никита;Павлович;05-804;М;2000-12-21
17;Федорова;Елена;Семеновна;05-703;Ж;2000-11-14
18;Морозов;Алексей;Иванович;05-703;М;2000-12-06
19;Волкова;Ирина;Егоровна;05-703;Ж;2000-06-18
20;Алексеев;Егор;Михайлович;05-703;М;2000-08-02
21;Гришин;Павел;Борисович;05-703;М;2000-07-19
22;Яшина;Анна;Петровна;05-703;Ж;2000-05-05
23;Орлов;Олег;Дмитриевич;05-012;М;1998-04-10
24;Андреев;Артур;Романович;05-012;М;1998-11-11
25;Макаров;Захар;Федорович;05-012;М;1998-12-12
26;Никитин;Николай;Олегович;05-012;М;1998-10-22
27;Медведьев;Дмитрий;Анатольевич;05-913;М;1998-10-23
28;Зайцев;Олег;Михайлович;05-913;М;1998-10-24
29;Семенов;Василий;Захарович;05-913;М;1998-10-25
30;Борисов;Виктор;Павлович;05-913;М;1998-10-26
